Dest Lat,Dest Long,Source Lat,Source Lon
46.8887,142.718,-36.24215,149.13015
-37.6733,144.843,-36.0678,146.95799
-33.9461,151.177,-36.0678,146.95799
-36.9086,149.901,-35.8978,150.144
-33.9461,151.177,-35.8978,150.144
-41.3272,174.80499,-35.7683,174.36501
-37.0081,174.79201,-35.7683,174.36501
-34.945,138.53101,-35.7139,137.521
-37.6733,144.843,-35.3069,149.19501
-34.945,138.53101,-35.3069,149.19501
-33.9461,151.177,-35.3069,149.19501
-31.9403,115.967,-35.3069,149.19501
-28.1644,153.505,-35.3069,149.19501
-27.3842,153.117,-35.3069,149.19501
-37.0081,174.79201,-35.2628,173.912
-37.6733,144.843,-35.1653,147.466
-33.9461,151.177,-35.1653,147.466
-37.0081,174.79201,-35.07,173.285
-37.7456,140.785,-34.945,138.53101
-37.6733,144.843,-34.945,138.53101
-37.0081,174.79201,-34.945,138.53101
-35.7139,137.521,-34.945,138.53101
-35.3069,149.19501,-34.945,138.53101
-34.6053,135.88,-34.945,138.53101
-34.2292,142.086,-34.945,138.53101
-33.9461,151.177,-34.945,138.53101
-33.0589,137.51401,-34.945,138.53101
-32.5069,137.717,-34.945,138.53101
-32.1306,133.71001,-34.945,138.53101
-32.0014,141.472,-34.945,138.53101
-31.9403,115.967,-34.945,138.53101
-30.7894,121.462,-34.945,138.53101
-30.485,136.877,-34.945,138.53101
-29.04,134.72099,-34.945,138.53101
-28.1644,153.505,-34.945,138.53101
-27.3842,153.117,-34.945,138.53101
-23.8067,133.90199,-34.945,138.53101
-16.8858,145.755,-34.945,138.53101
-12.4147,130.877,-34.945,138.53101
-8.74817,115.167,-34.945,138.53101
1.35019,103.994,-34.945,138.53101
2.74558,101.71,-34.945,138.53101
22.3089,113.915,-34.945,138.53101
25.2528,55.3644,-34.945,138.53101
-33.68842,115.4016,-34.9433,117.809
-31.9403,115.967,-34.9433,117.809
-34.5592,-58.4156,-34.8551,-55.0943
-32.9036,-60.785,-34.8551,-55.0943
-34.8222,-58.5358,-34.8384,-56.0308
-34.5592,-58.4156,-34.8384,-56.0308
-33.393,-70.7858,-34.8384,-56.0308
-29.9944,-51.1714,-34.8384,-56.0308
-25.5285,-49.1758,-34.8384,-56.0308
-25.24,-57.52,-34.8384,-56.0308
-23.43556,-46.47306,-34.8384,-56.0308
-22.81,-43.25056,-34.8384,-56.0308
-12.0219,-77.11431,-34.8384,-56.0308
9.07136,-79.3835,-34.8384,-56.0308
25.7932,-80.2906,-34.8384,-56.0308
40.47193,-3.56264,-34.8384,-56.0308
-54.8433,-68.2958,-34.8222,-58.5358
-50.2803,-72.0531,-34.8222,-58.5358
-43.2105,-65.2703,-34.8222,-58.5358
-41.1512,-71.1575,-34.8222,-58.5358
-34.8384,-56.0308,-34.8222,-58.5358
-33.393,-70.7858,-34.8222,-58.5358
-32.9036,-60.785,-34.8222,-58.5358
-32.8317,-68.7929,-34.8222,-58.5358
-31.3236,-64.208,-34.8222,-58.5358
-29.9944,-51.1714,-34.8222,-58.5358
-27.67028,-48.5525,-34.8222,-58.5358
-25.7373,-54.4734,-34.8222,-58.5358
-25.5285,-49.1758,-34.8222,-58.5358
-25.24,-57.52,-34.8222,-58.5358
-23.43556,-46.47306,-34.8222,-58.5358
-22.81,-43.25056,-34.8222,-58.5358
-17.6448,-63.1354,-34.8222,-58.5358
-15.86917,-47.92083,-34.8222,-58.5358
-12.0219,-77.11431,-34.8222,-58.5358
-3.77628,-38.5326,-34.8222,-58.5358
